t+AF8-degree+AF8-celsius,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
28.4,28.4,63.7,151.5,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.2,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.5,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,153.9,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13
28.4,28.4,63.6,153.9,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,28.4,63.6,154.1,4.41,61.58,13.92,10.92,9.05,0.13
