t+AF8-degree+AF8-celsius,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
24.6,24.6,60.9,193.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,60.9,193.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,60.9,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.3,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.6,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,60.9,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,193,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.9,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.6,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.9,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.2,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.2,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,194,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.7,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.7,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.6,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.7,193.6,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.5,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.7,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.7,193.5,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.6,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.4,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.7,193.4,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.5,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.7,193.4,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.4,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193.1,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.5,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.7,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.7,61.5,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.8,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,193,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.7,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.5,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,192.7,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.9,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.5,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,192.5,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.7,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.3,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,192.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.5,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.3,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,192.3,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.3,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.4,192,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.2,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192.3,19.01,8.31,15.44,23.61,33.62,0.00
24.6,24.6,61.5,191.7,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.4,192,19.01,8.31,15.44,23.61,33.62,0.00,24.6,61.5,191.7,19.01,8.31,15.44,23.61,33.62,0.00
