t+AF8-degree+AF8-celsius,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
26.9,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.4,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,82.8,162.4,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.5,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,82.8,162.4,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.5,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.6,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.8,162.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.8,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.8,162.9,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163.1,4.41,61.58,13.92,10.92,9.05,0.13
26.8,26.8,82.9,163.1,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.1,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.1,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.8,82.9,163.1,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.1,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83,163.5,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.7,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.7,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.6,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.8,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.8,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.7,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.9,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.1,163.9,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.8,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.7,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.9,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.1,163.9,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.2,164.3,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.3,164.4,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.3,164.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13
26.7,26.7,83.3,164.5,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.3,164.4,4.41,61.58,13.92,10.92,9.05,0.13,26.7,83.2,164,4.41,61.58,13.92,10.92,9.05,0.13
