t+AF8-degree+AF8-celsius,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
18.8,27.41979537,79.55469504,158,18.56681018539068,13.617263674967079,2.787148416115525,41.287155813987894,23.741621909538814,0.0,27.41979537,79.84732472,160,25.59,18.97,9.95,29.41,12.82,3.26,27.41979537,79.74978149,158,25.59,18.97,9.95,29.41,12.82,3.26
