t+AF8-degree+AF8-celsius,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
26.9,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.53675751,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.43521549,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06
26.9,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.8,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
26.7,28.02904745,80.72521375,165,18.01,59.65,1.98,6.86,13.44,0.06,28.13058946,80.62767053,165,18.01,59.65,1.98,6.86,13.44,0.06,28.23213147,80.5301273,165,18.01,59.65,1.98,6.86,13.44,0.06
