data,long,lat,hora,t_degree_celsius,umidade,altitude,velocidade,cobpais_pct,cobarb_pct,soloexp_pct,apav_pct,aedf,aguapct,data,long,lat,hora,t_degree_celsius,umidade,altitude,velocidade,cobpais_pct,cobarb_pct,soloexp_pct,apav_pct,aedf,aguapct,data,long,lat,hora,t_degree_celsius,umidade,altitude,velocidade,cobpais_pct,cobarb_pct,soloexp_pct,apav_pct,aedf,aguapct,data,long,lat,hora,t_degree_celsius,umidade,altitude,velocidade,cobpais_pct,cobarb_pct,soloexp_pct,apav_pct,aedf,aguapct
2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:14,26.70900129,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609196,8268688,19:56:44,26.70900129,81.31047311,193,8,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:44,26.60745927,81.60310279,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:55:54,26.60745927,81.40801634,193,0,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609196,8268688,19:56:04,26.60745927,81.31047311,193,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609176,8268697,19:56:54,26.70900129,81.40801634,193,21,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609176,8268697,19:56:54,26.70900129,81.40801634,193,21,21.74,6.34,10.23,35.2,26.5,0.0,2011-06-16,609179,8268695,19:48:59,28.94292556,55.94923424,191,30,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-26,609180,8268695,19:48:37,27.11516933,79.94486794,194,0,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,609052,8268749,19:57:14,26.70900129,81.60310279,195,31,21.74,6.34,10.23,35.2,26.5,0.0,2011-04-12,609052,8268749,19:57:14,26.70900129,81.60310279,195,31,21.74,6.34,10.23,35.2,26.5,0.0,2011-05-19,609053,8268749,20:54:11,24.47507701,70.58071821,188,32,21.74,6.34,10.23,35.2,26.5,0.0,2011-05-09,609051,8268750,19:51:54,28.43521549,65.70355688,198,33,21.74,6.34,10.23,35.2,26.5,0.0
2011-04-12,608891,8268817,19:57:34,26.70900129,81.89573247,196,32,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-04-12,608891,8268817,19:57:34,26.70900129,81.89573247,196,32,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-05-19,608885,8268819,20:54:31,24.47507701,70.38563175,188,32,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-05-26,608901,8268812,19:48:18,24.98278708,72.62912596,192,34,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2011-04-12,608727,8268886,19:57:54,26.70900129,82.09081892,196,32,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-04-12,608727,8268886,19:57:54,26.70900129,82.09081892,196,32,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-05-26,608728,8268886,19:48:38,25.08432909,72.82421241,194,34,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0,2011-05-19,608719,8268890,20:54:51,24.47507701,70.38563175,190,35,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2011-04-12,608562,8268958,19:58:14,26.60745927,82.09081892,197,34,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-12,608562,8268958,19:58:14,26.60745927,82.09081892,197,34,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-26,608568,8268956,19:50:47,27.01362732,80.62767053,198,35,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-05-26,608554,8268962,19:48:58,24.98278708,73.21438532,194,34,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2011-04-12,608475,8268997,19:58:24,26.50591726,82.3834486,198,33,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-12,608475,8268997,19:58:24,26.50591726,82.3834486,198,33,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-26,608480,8268994,19:50:57,27.01362732,80.62767053,199,35,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-05-26,608467,8269000,19:49:08,24.98278708,73.40947177,192,35,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2011-04-12,608392,8269035,19:58:34,26.50591726,82.28590538,197,32,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-12,608392,8269035,19:58:34,26.50591726,82.28590538,197,32,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-26,608392,8269035,19:51:07,26.91208531,80.72521375,198,33,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0,2011-04-19,608403,8269029,19:48:21,29.45063562,70.09300207,201,32,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2011-04-12,608053,8269182,19:59:14,26.40437525,82.77362151,197,34,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0,2011-04-12,608053,8269182,19:59:14,26.40437525,82.77362151,197,34,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0,2011-04-26,608051,8269183,19:51:47,26.91208531,80.82275698,197,34,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0,2011-05-19,608039,8269188,20:56:11,24.27199299,74.18981758,190,34,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2011-04-12,607878,8269256,19:59:34,26.40437525,83.26133764,197,34,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0,2011-04-12,607878,8269256,19:59:34,26.40437525,83.26133764,197,34,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0,2011-04-26,607874,8269258,19:52:07,27.01362732,80.72521375,196,34,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0,2011-05-19,607864,8269262,20:56:31,24.17045098,71.75123692,190,34,32.8267558939568,12.306912169767468,12.58273820728442,15.665228632125666,26.61836509686565,0.0
2011-04-12,607460,8269435,20:00:24,26.30283324,83.06625119,196,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-04-12,607460,8269435,20:00:24,26.30283324,83.06625119,196,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-04-19,607458,8269436,19:50:11,29.45063562,70.1905453,199,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-06-14,607462,8269434,19:49:20,26.70900129,61.02148202,191,36,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2011-04-12,607373,8269472,20:00:34,26.30283324,82.96870796,199,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-04-12,607373,8269472,20:00:34,26.30283324,82.96870796,199,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-04-19,607371,8269473,19:50:21,29.45063562,70.28808853,201,34,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0,2011-06-14,607371,8269473,19:49:30,26.70900129,60.63130911,192,35,28.5976070295056,15.037578469043677,5.043480414209243,17.868448531323644,33.45288555591783,0.0
2011-04-12,607029,8269619,20:01:14,26.20129122,83.45642409,205,34,35.96262025761499,15.893581998913287,11.714929523444242,14.532393645923229,21.736264263112474,0.0,2011-04-12,607029,8269619,20:01:14,26.20129122,83.45642409,205,34,35.96262025761499,15.893581998913287,11.714929523444242,14.532393645923229,21.736264263112474,0.0,2011-05-17,607032,8269618,19:49:04,22.03806872,76.72594147,200,34,35.96262025761499,15.893581998913287,11.714929523444242,14.532393645923229,21.736264263112474,0.0,2011-04-19,607014,8269626,19:51:01,29.34909361,70.38563175,207,34,35.96262025761499,15.893581998913287,11.714929523444242,14.532393645923229,21.736264263112474,0.0
