t+AF8-degree+AF8-celsius,data,long,lat,hora,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
18.8,20160612,596244,8273498,213041,59.3,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213041,18.8,59.3,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213042,18.8,59.2,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213040,18.8,59.3,156.7,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213042,59.2,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213042,18.8,59.2,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213043,18.8,59.2,157.8,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213041,18.8,59.3,156.9,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213043,59.2,157.8,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213043,18.8,59.2,157.8,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213042,18.8,59.2,156.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213044,18.8,59.2,157.9,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213044,59.2,157.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213044,18.8,59.2,157.9,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213043,18.8,59.2,157.8,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213045,18.8,59.2,158,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213045,59.2,158,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213045,18.8,59.2,158,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213046,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213044,18.8,59.2,157.9,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213046,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213046,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213045,18.8,59.2,158,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213047,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273498,213047,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213047,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213046,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213045,18.8,59.2,158,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273499,213048,59.2,159,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273499,213048,18.8,59.2,159,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213047,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273498,213046,18.8,59.2,158.6,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273502,213049,59.2,159.5,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273502,213049,18.8,59.2,159.5,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273499,213048,18.8,59.2,159,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273506,213050,18.8,59.2,159.7,16.31,16.72,5.6,36.9,23.06,2.21
18.8,20160612,596244,8273506,213050,59.2,159.7,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273506,213050,18.8,59.2,159.7,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273510,213051,18.8,59.3,159.6,16.31,16.72,5.6,36.9,23.06,2.21,20160612,596244,8273502,213049,18.8,59.2,159.5,16.31,16.72,5.6,36.9,23.06,2.21
