t+AF8-degree+AF8-celsius,data,long,lat,hora,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
28.4,20161220,593924,8277786,201015,63.7,151.5,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593924,8277786,201015,28.4,63.7,151.5,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593927,8277782,201014,28.4,63.7,151.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593921,8277792,201016,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593921,8277792,201016,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593921,8277792,201016,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593918,8277796,201017,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593924,8277786,201015,28.4,63.7,151.5,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593918,8277796,201017,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593918,8277796,201017,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593921,8277792,201016,28.4,63.7,151.6,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593916,8277801,201018,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593916,8277801,201018,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593916,8277801,201018,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593913,8277803,201019,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593918,8277796,201017,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593913,8277803,201019,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593913,8277803,201019,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593916,8277801,201018,28.4,63.7,151.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593909,8277804,201020,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593909,8277804,201020,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593909,8277804,201020,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593913,8277803,201019,28.4,63.6,152,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593904,8277802,201021,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593904,8277802,201021,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593904,8277802,201021,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277799,201022,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593909,8277804,201020,28.4,63.6,152.4,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593902,8277799,201022,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277799,201022,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593904,8277802,201021,28.4,63.6,152.7,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277793,201023,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593902,8277793,201023,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277793,201023,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593903,8277788,201024,28.4,63.6,153.9,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277799,201022,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13
28.4,20161220,593903,8277788,201024,63.6,153.9,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593903,8277788,201024,28.4,63.6,153.9,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593902,8277793,201023,28.4,63.6,153.2,4.41,61.58,13.92,10.92,9.05,0.13,20161220,593904,8277782,201025,28.4,63.6,154.1,4.41,61.58,13.92,10.92,9.05,0.13
