t+AF8-degree+AF8-celsius,data,long,lat,hora,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct,data,long,lat,hora,t+AF8-degree+AF8-celsius,umidade,altitude,cobpais+AF8-pct,cobarb+AF8-pct,soloexp+AF8-pct,apav+AF8-pct,aedf,aguapct
26.9,20160320,593907,8277771,204516,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593907,8277771,204516,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593907,8277771,204515,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204517,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277771,204517,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204517,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204518,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593907,8277771,204516,26.9,82.7,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277771,204518,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204518,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204517,26.9,82.7,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204519,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277771,204519,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204519,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204518,26.9,82.8,161.5,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204520,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277771,204520,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204520,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204521,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204519,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277771,204521,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204521,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204520,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204519,26.9,82.8,161.4,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204522,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204522,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204523,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277771,204521,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204523,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204523,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204522,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204524,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204524,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204524,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204523,26.9,82.9,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204525,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204525,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204525,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204526,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204524,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204526,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204526,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204525,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204527,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204527,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204527,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204526,26.9,83,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204528,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204528,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204528,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204529,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204527,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.9,20160320,593906,8277770,204529,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204529,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204528,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204530,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204530,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204530,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204529,26.9,83.2,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204531,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204531,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204531,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204530,26.8,83.3,161.6,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204532,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204532,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204532,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204531,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204533,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204533,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204533,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204532,26.8,83.3,161.7,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204534,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204534,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204534,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204533,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204535,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204535,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204535,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204534,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204536,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204536,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204536,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204535,26.8,83.2,161.8,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204537,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277769,204537,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204537,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204538,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204539,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277770,204538,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277770,204538,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204537,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204539,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277769,204539,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204539,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204540,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204537,26.8,83,161.9,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277769,204540,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204540,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204539,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204541,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277769,204541,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204541,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204540,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204542,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593906,8277769,204542,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204542,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204541,26.8,83,162.1,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204540,26.8,83,162,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593905,8277769,204543,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204543,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204544,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593906,8277769,204542,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13
26.8,20160320,593905,8277769,204544,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204544,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204543,26.8,83,162.2,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204545,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13
26.7,20160320,593905,8277769,204545,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204545,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204544,26.8,83,162.3,4.41,61.58,13.92,10.92,9.05,0.13,20160320,593905,8277769,204546,26.7,82.8,162.3,4.41,61.58,13.92,10.92,9.05,0.13
